p,d,a
0.01,123,1.195
0.01,124,1.194
0.01,125,1.2
0.01,126,1.198
0.01,127,1.197
0.01,128,1.203
0.01,129,1.202
0.01,130,1.208
0.01,131,1.206
0.01,132,1.205
0.01,133,1.211
0.01,134,1.209
0.01,135,1.215
0.01,136,1.213
0.01,137,1.219
0.01,138,1.217
0.01,139,1.223
0.01,140,1.221
0.01,141,1.22
0.01,142,1.225
0.01,143,1.224
0.01,144,1.229
0.01,145,1.228
0.01,146,1.233
0.01,147,1.231
0.01,148,1.236
0.01,149,1.235
0.01,150,1.233
0.01,151,1.238
0.01,152,1.237
0.01,153,1.242
0.01,154,1.24
0.01,155,1.245
0.01,156,1.244
0.01,157,1.248
0.01,158,1.247
0.01,159,1.245
0.01,160,1.25
0.01,161,1.248
0.01,162,1.253
0.01,163,1.252
0.01,164,1.256
0.01,165,1.255
0.01,166,1.259
0.01,167,1.257
0.01,168,1.262
0.01,169,1.26
0.01,170,1.265
0.01,171,1.263
0.01,172,1.262
0.01,173,1.266
0.01,174,1.264
0.01,175,1.269
0.01,176,1.267
0.01,177,1.271
0.01,178,1.27
0.01,179,1.274
0.01,180,1.272
0.01,181,1.276
0.01,182,1.275
0.01,183,1.279
0.01,184,1.277
0.01,185,1.281
0.01,186,1.28
0.01,187,1.283
0.01,188,1.282
0.01,189,1.28
0.01,190,1.284
0.01,191,1.283
0.01,192,1.286
0.01,193,1.285
0.01,194,1.289
0.01,195,1.287
